Bin,Bin Center,Count,Cumulative Count,Relative Frequency,Cumulative Frequency
15.655-133.42,74.53869682380001,0,0,0.0,0.0
133.42-251.19,192.3053452314,69,69,0.04448742746615087,0.04448742746615087
251.19-368.96,310.071993639,258,327,0.16634429400386846,0.21083172147001933
368.96-486.72,427.8386420466,290,617,0.18697614442295293,0.39780786589297223
486.72-604.49,545.6052904542,198,815,0.1276595744680851,0.5254674403610573
604.49-722.26,663.3719388618,179,994,0.1154094132817537,0.640876853642811
722.26-840.02,781.1385872694,124,1118,0.07994842037395229,0.7208252740167633
840.02-957.79,898.9052356770001,103,1221,0.06640876853642812,0.7872340425531914
957.79-1075.6,1016.6718840846,54,1275,0.03481624758220503,0.8220502901353964
1075.6-1193.3,1134.4385324922,66,1341,0.0425531914893617,0.8646034816247581
1193.3-1311.1,1252.2051808997999,36,1377,0.02321083172147002,0.8878143133462281
1311.1-1428.9,1369.9718293074002,29,1406,0.018697614442295292,0.9065119277885234
1428.9-1546.6,1487.738477715,23,1429,0.014829142488716958,0.9213410702772403
1546.6-1664.4,1605.5051261226,19,1448,0.012250161186331399,0.9335912314635717
1664.4-1782.2,1723.2717745302,11,1459,0.0070921985815602835,0.940683430045132
1782.2-1899.9,1841.0384229378,14,1473,0.009026434558349452,0.9497098646034815
1899.9-2017.7,1958.8050713454,13,1486,0.008381689232753063,0.9580915538362346
2017.7-2135.5,2076.5717197530003,9,1495,0.005802707930367505,0.9638942617666021
2135.5-2253.2,2194.3383681606,5,1500,0.003223726627981947,0.9671179883945841
2253.2-2371,2312.1050165682,8,1508,0.0051579626047711154,0.9722759509993552
2371-2488.8,2429.8716649758,8,1516,0.0051579626047711154,0.9774339136041262
2488.8-2606.5,2547.6383133834,8,1524,0.0051579626047711154,0.9825918762088973
2606.5-2724.3,2665.404961791,8,1532,0.0051579626047711154,0.9877498388136684
2724.3-2842.1,2783.1716101986003,4,1536,0.0025789813023855577,0.9903288201160539
2842.1-2959.8,2900.9382586062,3,1539,0.0019342359767891683,0.9922630560928432
2959.8-3077.6,3018.7049070138,3,1542,0.0019342359767891683,0.9941972920696324
3077.6-3195.4,3136.4715554214,1,1543,0.0006447453255963894,0.9948420373952288
3195.4-3313.1,3254.2382038289998,0,1543,0.0,0.9948420373952288
3313.1-3430.9,3372.0048522366,1,1544,0.0006447453255963894,0.9954867827208252
3430.9-3548.7,3489.7715006442,2,1546,0.0012894906511927789,0.996776273372018
3548.7-3666.4,3607.5381490518002,0,1546,0.0,0.996776273372018
3666.4-3784.2,3725.3047974594,1,1547,0.0006447453255963894,0.9974210186976145
3784.2-3902,3843.071445867,0,1547,0.0,0.9974210186976145
3902-4019.7,3960.8380942746,0,1547,0.0,0.9974210186976145
4019.7-4137.5,4078.6047426821997,0,1547,0.0,0.9974210186976145
4137.5-4255.3,4196.3713910898,1,1548,0.0006447453255963894,0.9980657640232109
4255.3-4373,4314.1380394974,0,1548,0.0,0.9980657640232109
4373-4490.8,4431.904687905,0,1548,0.0,0.9980657640232109
4490.8-4608.6,4549.6713363126,0,1548,0.0,0.9980657640232109
4608.6-4726.3,4667.4379847202,0,1548,0.0,0.9980657640232109
4726.3-4844.1,4785.2046331278,1,1549,0.0006447453255963894,0.9987105093488073
4844.1-4961.9,4902.9712815354,1,1550,0.0006447453255963894,0.9993552546744038
4961.9-5079.6,5020.737929943,0,1550,0.0,0.9993552546744038
5079.6-5197.4,5138.5045783506,0,1550,0.0,0.9993552546744038
5197.4-5315.2,5256.2712267582,0,1550,0.0,0.9993552546744038
5315.2-5432.9,5374.0378751658,0,1550,0.0,0.9993552546744038
5432.9-5550.7,5491.8045235734,0,1550,0.0,0.9993552546744038
5550.7-5668.5,5609.571171981001,0,1550,0.0,0.9993552546744038
5668.5-5786.2,5727.3378203886,0,1550,0.0,0.9993552546744038
5786.2-5904,5845.1044687962,1,1551,0.0006447453255963894,1.0000000000000002
